species,longitude,latitude
Plagioscion_squamosissimus,-50.6644,-5.0467
Plagioscion_squamosissimus,-48.9,0.15
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-55.5969,-1.9453
Plagioscion_squamosissimus,-56.2561,-2.3219
Plagioscion_squamosissimus,-56.2561,-2.3219
Plagioscion_squamosissimus,-58.5838,3.4414
Plagioscion_squamosissimus,-69.5489,7.4124
Plagioscion_squamosissimus,-65.3617,-10.8167
Plagioscion_squamosissimus,-66.9826,-13.9674
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.4875,4.6577
Plagioscion_squamosissimus,-52.3979,4.9292
Plagioscion_squamosissimus,-51.7659,4.2065
Plagioscion_squamosissimus,-52.3965,4.2057
Plagioscion_squamosissimus,-52.3076,4.8389
Plagioscion_squamosissimus,-54.0237,5.6465
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-54.3791,4.6511
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-53.7504,5.0153
Plagioscion_squamosissimus,-54.3819,5.193
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-54.1055,3.749
Plagioscion_squamosissimus,-54.3814,5.1027
Plagioscion_squamosissimus,-53.9253,3.6593
Plagioscion_squamosissimus,-53.8438,5.7378
Plagioscion_squamosissimus,-54.2864,4.0193
Plagioscion_squamosissimus,-52.5763,4.0244
Plagioscion_squamosissimus,-52.3965,4.2057
Plagioscion_squamosissimus,-54.104,3.2974
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-52.576,3.8436
Plagioscion_squamosissimus,-52.7581,4.7475
Plagioscion_squamosissimus,-52.3979,4.9292
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-54.3779,4.3802
Plagioscion_squamosissimus,-51.9463,4.3872
Plagioscion_squamosissimus,-52.3964,4.1152
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-53.934,5.7373
Plagioscion_squamosissimus,-54.4678,4.3798
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-53.934,5.7373
Plagioscion_squamosissimus,-54.104,3.2974
Plagioscion_squamosissimus,-53.75,4.925
Plagioscion_squamosissimus,-54.2918,5.1935
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-53.934,5.7373
Plagioscion_squamosissimus,-54.3791,4.6511
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-52.1264,4.2965
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-52.576,3.8436
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.4849,3.2107
Plagioscion_squamosissimus,-52.9386,4.8374
Plagioscion_squamosissimus,-54.3767,4.1093
Plagioscion_squamosissimus,-54.0237,5.6465
Plagioscion_squamosissimus,-54.3767,4.1093
Plagioscion_squamosissimus,-52.6658,3.753
Plagioscion_squamosissimus,-54.286,3.929
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-52.94,5.2895
Plagioscion_squamosissimus,-54.4687,4.5604
Plagioscion_squamosissimus,-53.3912,5.3783
Plagioscion_squamosissimus,-52.9397,5.1991
Plagioscion_squamosissimus,-52.7588,5.0187
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.8485,4.8377
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-54.1936,3.2067
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-53.9245,3.3883
Plagioscion_squamosissimus,-53.0293,5.018
Plagioscion_squamosissimus,-52.9403,5.3799
Plagioscion_squamosissimus,-53.0293,5.018
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-51.9463,4.3872
Plagioscion_squamosissimus,-53.8346,3.3885
Plagioscion_squamosissimus,-54.4678,4.3798
Plagioscion_squamosissimus,-52.7586,4.9283
Plagioscion_squamosissimus,-54.3775,4.2899
